股票代码,所属概念,所属概念数量,code,market_code
000010.SZ,新型城镇化;PPP概念;水利;抽水蓄能;东数西算(算力);煤炭概念,6,000010,33
002523.SZ,军工;海工装备;核电;水利;人工智能;工业互联网;机器人概念;华为概念;雅下水电概念;体育产业;一带一路;风电;回购增持再贷款概念;国企改革;冰雪产业;固废处理;2025年报预增;深股通;融资融券,19,002523,33
603310.SH,氟化工概念;创投;专精特新;沪股通;融资融券,5,603310,17
001213.SZ,统一大市场;冷链物流;国企改革;乡村振兴;一带一路;智能物流;中字头股票;深股通,8,001213,33
003040.SZ,数字货币;跨境支付(CIPS);移动支付;电子身份证;互联网金融;ETC;区块链;数字经济;鸿蒙概念;国产操作系统;智慧政务;人工智能;信创;AI智能体;DeepSeek概念;物联网;数据安全;量子科技;华为概念;5G;消费电子概念;AI应用;融资融券;深股通,24,003040,33
000725.SZ,MicroLED概念;电子纸;MiniLED;智能医疗;民营医院;医疗器械概念;回购增持再贷款概念;光伏建筑一体化;光伏概念;国企改革;人工智能;柔性屏(折叠屏);工业互联网;钙钛矿电池;OLED;长安汽车概念;智能穿戴;机器人概念;虚拟现实;AI眼镜;华为概念;智能座舱;物联网;虚拟电厂;储能;传感器;充电桩;小米概念;芯片概念;苹果概念;同花顺漂亮100;同花顺果指数;光纤概念;深股通;融资融券,35,000725,33
601921.SH,文化传媒概念;网络游戏;NFT概念;短剧游戏;在线教育;国资云;高股息精选;数据要素;阿里巴巴概念;人工智能;AI应用;共同富裕示范区;国企改革;沪股通,14,601921,17
603260.SH,硅能源;有机硅概念;石墨电极;光伏概念;长三角一体化;第三代半导体;沪股通;融资融券,8,603260,17
301296.SZ,食品安全;股权转让(并购重组);融资融券,3,301296,33
300213.SZ,军工信息化;卫星导航;商业航天;智慧城市;低空经济;军工;安防;无人机;人工智能;数据要素;物联网;智慧政务;数据安全;元宇宙;AI智能体;独角兽概念;百度概念;华为概念;机器视觉;DeepSeek概念;云计算;工业互联网;新型工业化;ChatGPT概念;5G;AIGC概念;高铁;机器人概念;专精特新;京津冀一体化;数据中心;跨境电商;一带一路;AI应用;新疆振兴;深股通,36,300213,33
002637.SZ,消毒剂;污水处理;回购增持再贷款概念;一带一路;食品安全;深股通,6,002637,33
300625.SZ,家用电器;智能家居;跨境电商;智慧灯杆;智慧城市;芯片概念,6,300625,33
002532.SZ,俄乌冲突概念;新疆振兴;2026一季报预增;钠离子电池;锂电池概念;西部大开发;回购增持再贷款概念;融资融券;深股通,9,002532,33
688366.SH,医美概念;眼科医疗;沪股通;融资融券,4,688366,17
002537.SZ,数字货币;移动支付;互联网金融;蚂蚁集团概念;区块链;NFT概念;数字经济;元宇宙;跨境电商;华为概念;冷链物流;华为汽车;比亚迪概念;家用电器;5G;新能源汽车;特斯拉概念;2025年报预增;深股通;融资融券,20,002537,33
002409.SZ,国家大基金持股;存储芯片;中芯国际概念;光刻胶;OLED;芯片概念;氟化工概念;专精特新;磷化工;特高压;海工装备;深股通;天然气;融资融券,14,002409,33
001279.SZ,专精特新;固态电池;深股通;融资融券,4,001279,33
688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,8,688766,17
300602.SZ,富士康概念;液冷服务器;AI PC;苹果概念;华为手机;5G;华为海思概念股;数据中心;AI眼镜;MR(混合现实);小米概念;汽车热管理;宁德时代概念;比亚迪概念;人形机器人;无人机;特斯拉概念;新能源汽车;2025年报预增;华为概念;无人驾驶;光伏概念;机器人概念;虚拟现实;充电桩;华为汽车;储能;工业互联网;锂电池概念;石墨烯;粤港澳大湾区;一体化压铸;长安汽车概念;家用电器;智能物流;一带一路;物业管理;融资融券;深股通,39,300602,33
000750.SZ,期货概念;国企改革;西部大开发;2025年报预增;深股通;融资融券,6,000750,33
601099.SH,互联网金融;西部大开发;沪股通;融资融券,4,601099,17
600865.SH,物业管理;信托概念;创投,3,600865,17
603708.SH,预制菜;冷链物流;乡村振兴;智能物流;2025年报预增;融资融券;沪股通,7,603708,17
002912.SZ,数据安全;网络安全;国产操作系统;信创;智慧政务;云计算;华为鲲鹏;数据要素;车联网(车路协同);AI智能体;财税数字化;ChatGPT概念;多模态AI;人工智能;东数西算(算力);数字孪生;数字经济;DeepSeek概念;华为概念;职业教育;工业互联网;数据中心;智能医疗;低空经济;无人机;专精特新;粤港澳大湾区;AI应用;深圳国企改革;国企改革;融资融券,31,002912,33
603181.SH,有机硅概念;染料;工业互联网;风电;沪股通;融资融券,6,603181,17
300120.SZ,安防;智慧灯杆;芯片概念;汽车电子;消费电子概念;柔性屏(折叠屏);OLED;人民币贬值受益;海工装备;风电;特高压;PET铜箔;柔性直流输电;股权转让(并购重组);深股通,15,300120,33
002299.SZ,养鸡;预制菜;参股银行;食品安全;2025年报预增;2026一季报预增;海峡两岸;深股通;融资融券,9,002299,33
002457.SZ,地下管网;新型城镇化;水利;风电;乡村振兴;参股银行;西部大开发;新疆振兴;京津冀一体化,9,002457,33
601398.SH,高股息精选;同花顺中特估100;证金持股;沪股通;融资融券;跨境支付(CIPS),6,601398,17
600016.SH,高股息精选;沪股通;融资融券;跨境支付(CIPS),4,600016,17
300671.SZ,汽车芯片;MCU芯片;存储芯片;MiniLED;先进封装;第三代半导体;WiFi 6;无线耳机;芯片概念;5G;毫米波雷达;新型烟草(电子烟);专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,18,300671,33
300269.SZ,MicroLED概念;MiniLED;商业航天;MR(混合现实);小红书概念;柔性屏(折叠屏);元宇宙;智慧城市;军工;华为概念;体育产业;人民币贬值受益,12,300269,33
301190.SZ,染料;参股银行;幽门螺杆菌概念;深股通;融资融券,5,301190,33
301011.SZ,IP经济(谷子经济);电子竞技;元宇宙;虚拟现实;海峡两岸;粤港澳大湾区;融资融券,7,301011,33
605077.SH,代糖概念;合成生物;玉米;沪股通,4,605077,17
300419.SZ,数据安全;华为欧拉;网络安全;智慧政务;云计算;信创;东数西算(算力);百度概念;数据要素;互联网金融;抖音概念(字节概念);物联网;AI智能体;DeepSeek概念;人工智能;快手概念;数据中心;华为概念;量子科技;ST板块;军工;AI应用;股权转让(并购重组),23,300419,33
603036.SH,天然气;俄乌冲突概念,2,603036,17
000565.SZ,西部大开发;国企改革;石墨烯;氢能源;军工;数字经济;储能;融资融券,8,000565,33
002774.SZ,中俄贸易概念;物联网;一带一路;粤港澳大湾区;人工智能,5,002774,33
600973.SH,可控核聚变;核电;超导概念;大飞机;军工;智能电网;无人机;高端装备;铜缆高速连接;低空经济;充电桩;高铁;飞行汽车(eVTOL);新能源汽车;央企国企改革;特斯拉概念;国企改革;2026一季报预增;沪股通;融资融券,20,600973,17
301503.SZ,粤港澳大湾区;人民币贬值受益;机器人概念;智能物流;人工智能;中俄贸易概念;数据中心;消费电子概念;电子竞技;芯片概念;一带一路;融资融券,12,301503,33
603035.SH,华为汽车;小米汽车;智能座舱;传感器;比亚迪概念;机器视觉;新能源汽车;小米概念;特斯拉概念;回购增持再贷款概念;沪股通;融资融券,12,603035,17
002345.SZ,黄金概念;小金属概念;IP经济(谷子经济);2025年报预增;NFT概念;高股息精选;培育钻石;深股通,8,002345,33
301519.SZ,新型城镇化;净水概念;污水处理;地下管网;PPP概念;水利;乡村振兴;京津冀一体化;智慧城市;回购增持再贷款概念;专精特新;融资融券,12,301519,33
688237.SH,成飞概念;专精特新;军工;新能源汽车;汽车热管理;工业母机;融资融券,7,688237,17
300792.SZ,快手概念;小红书概念;拼多多概念;AIGC概念;虚拟数字人;抖音概念(字节概念);AI智能体;阿里巴巴概念;腾讯概念;人工智能;网红经济;AI应用;跨境电商;深股通,14,300792,33
002857.SZ,电力物联网;智能电网;虚拟电厂;机器人概念;储能;养老概念;智能医疗;数据中心,8,002857,33
300803.SZ,互联网金融;参股券商;AI应用;融资融券;深股通,5,300803,33
002158.SZ,第三代半导体;芯片概念;光伏概念;专精特新;数据中心;空气能热泵;燃料电池;工业互联网;海峡两岸;氢能源;雄安新区;冷链物流;深股通;融资融券,14,002158,33
301061.SZ,同花顺出海50;养老概念;智能家居;人民币贬值受益;一带一路;深股通;融资融券,7,301061,33
603071.SH,煤炭概念;生物质能发电;绿色电力;统一大市场;碳中和;污水处理;国企改革;中俄贸易概念;储能;充电桩;智能电网;换电概念;沪股通,13,603071,17
600210.SH,可降解塑料;锂电池概念;固态电池;创投;绿色电力;比亚迪概念;飞行汽车(eVTOL);低空经济;大飞机;沪股通;融资融券,11,600210,17
300836.SZ,PCB概念;苹果概念;传感器;机器视觉;新型工业化;新能源汽车;机器人概念;商业航天;2025年报预增;工业互联网;充电桩;人工智能;数字经济;绿色电力;民爆概念,15,300836,33
300717.SZ,专精特新;可降解塑料;参股银行;回购增持再贷款概念;ETC;电子身份证;煤化工概念,7,300717,33
000735.SZ,猪肉;养鸡;海南自贸区;生态农业;动物疫苗;乡村振兴;自由贸易港;统一大市场;冷链物流;宠物经济;职业教育;深股通;融资融券,13,000735,33
301312.SZ,共封装光学(CPO);新型烟草(电子烟);AI PC;MicroLED概念;MiniLED;华为海思概念股;苹果概念;MR(混合现实);数据中心;消费电子概念;AI眼镜;芯片概念;汽车电子;机器视觉;新型工业化;专精特新;华为概念;比亚迪概念;空间计算;虚拟现实;粤港澳大湾区;高端装备;机器人概念;元宇宙;深股通;融资融券,26,301312,33
002270.SZ,特高压;工业母机;高端装备;专精特新;机器人概念;绿色电力;深股通;融资融券,8,002270,33
300722.SZ,军民融合;大飞机;军工;商业航天;无人机;低空经济;海工装备;智慧城市;民爆概念;人工智能;数字经济;国企改革;深股通;融资融券,14,300722,33
000532.SZ,独角兽概念;横琴新区;创投;粤港澳大湾区;参股券商;国企改革;污水处理;锂电池概念;石墨烯;深股通,10,000532,33
002540.SZ,3D打印;军工;比亚迪概念;新能源汽车;大飞机;汽车热管理;商业航天;深股通,8,002540,33
000615.SZ,ST板块;毛发医疗;民营医院;医美概念;参股银行;参股券商;消毒剂,7,000615,33
300531.SZ,电子身份证;数字货币;数据确权;移动支付;智慧政务;跨境支付(CIPS);区块链;信创;数据安全;人脸识别;鸿蒙概念;数据要素;数字经济;华为概念;DeepSeek概念;物联网;人工智能;智能音箱;食品安全;智能医疗;拼多多概念;粤港澳大湾区;华为海思概念股;机器视觉;工业互联网;专精特新;消费电子概念;智能电网;智能物流;机器人概念;芯片概念;军工;中俄贸易概念;2026一季报预增;深股通,35,300531,33
603993.SH,黄金概念;金属铜;金属钴;金属镍;小金属概念;盐湖提锂;磷化工;同花顺出海50;宁德时代概念;人民币贬值受益;同花顺漂亮100;沪股通;融资融券,13,603993,17
688067.SH,医疗器械概念;三胎概念;辅助生殖;专精特新;智能医疗;幽门螺杆菌概念;机器视觉;人工智能;医药电商;融资融券,10,688067,17
002407.SZ,钠离子电池;氟化工概念;固态电池;动力电池回收;PVDF概念;锂电池概念;硅能源;特斯拉概念;储能;比亚迪概念;新能源汽车;回购增持再贷款概念;中芯国际概念;第三代半导体;工业互联网;创投;芯片概念;存储芯片;数字孪生;独角兽概念;融资融券;深股通,22,002407,33
002123.SZ,智慧政务;数字货币;云办公;云计算;区块链;信创;ChatGPT概念;鸿蒙概念;元宇宙;算力租赁;数据要素;百度概念;腾讯概念;阿里巴巴概念;AIGC概念;语音技术;东数西算(算力);DeepSeek概念;人工智能;物联网;华为概念;智能医疗;数据中心;5G;养老概念;无人机;机器人概念;跨境电商;比亚迪概念;三胎概念;AI应用;一带一路;深股通;融资融券,34,002123,33
600667.SH,存储芯片;先进封装;OLED;芯片概念;数据中心;回购增持再贷款概念;光伏建筑一体化;绿色电力;国企改革;沪股通;融资融券,11,600667,17
001335.SZ,染料;人民币贬值受益;一带一路;融资融券,4,001335,33
603536.SH,预制菜;网红经济;乡村振兴;一带一路,4,603536,17
603712.SH,军工信息化;军民融合;卫星导航;军工;商业航天;大飞机;无人机;6G概念;DeepSeek概念;高铁;京津冀一体化;一带一路;回购增持再贷款概念;国企改革;融资融券;沪股通,16,603712,17
003003.SZ,跨境电商;可降解塑料;冷链物流;工业互联网,4,003003,33
002373.SZ,多模态AI;蚂蚁集团概念;数据要素;AI智能体;百度概念;车联网(车路协同);元宇宙;互联网金融;AIGC概念;ETC;云计算;时空大数据;阿里巴巴概念;人脸识别;智慧城市;数字经济;人工智能;DeepSeek概念;商业航天;安防;数字孪生;华为概念;低空经济;物联网;机器视觉;无人驾驶;东数西算(算力);无人机;大飞机;京津冀一体化;毫米波雷达;小米概念;数据中心;智能物流;跨境电商;体育产业;小米汽车;汽车电子;水利;AI应用;充电桩;雄安新区;足球概念;储能;一带一路;深股通;融资融券,47,002373,33
002587.SZ,MiniLED;MicroLED概念;足球概念;智慧灯杆;柔性屏(折叠屏);虚拟现实;体育产业;人脸识别;MR(混合现实);物联网;语音技术;粤港澳大湾区;智慧城市;华为概念;消费电子概念;5G;元宇宙;机器人概念;在线教育;人工智能;专精特新;抖音概念(字节概念);数字经济;腾讯概念;区块链;信创;智慧政务;苹果概念;互联网金融;虚拟数字人;AIGC概念;华为鲲鹏;广东自贸区;旅游概念;ChatGPT概念;英伟达概念;AI应用,37,002587,33
300066.SZ,稀土永磁;数字经济;DeepSeek概念;华为概念;智慧城市;工业互联网;互联网金融;物联网;净水概念;污水处理;2025年报预增;新型工业化;储能;深股通;融资融券,15,300066,33
601228.SH,航运概念;自由贸易港;冷链物流;国企改革;养老概念;广东自贸区;数据要素;粤港澳大湾区;网络安全;沪股通;融资融券,11,601228,17
001696.SZ,军民融合;航空发动机;军工;无人机;商业航天;农机;低空经济;飞行汽车(eVTOL);数字经济;工业互联网;机器人概念;两轮车;专精特新;乡村振兴;燃料电池;西部大开发;比亚迪概念;新能源汽车;储能;氢能源;锂电池概念;钠离子电池;深股通;融资融券,24,001696,33
600665.SH,物业管理;国企改革;西部大开发;水利,4,600665,17
600906.SH,期货概念;国企改革;雄安新区;京津冀一体化;百度概念;融资融券;沪股通,7,600906,17
301149.SZ,建筑节能;风电;装配式建筑;体育产业;高铁;新能源汽车;专精特新;智能家居;融资融券,9,301149,33
000523.SZ,广东自贸区;物业管理;啤酒概念;代糖概念;国企改革;创投;粤港澳大湾区;工业互联网;股权转让(并购重组);深股通,10,000523,33
002164.SZ,减速器;机器人概念;高铁;共同富裕示范区;2025年报预增;风电;深股通;融资融券,8,002164,33
601689.SH,人形机器人;汽车热管理;小米汽车;华为汽车;特斯拉概念;一体化压铸;比亚迪概念;新能源汽车;新型工业化;机器人概念;智能座舱;小米概念;汽车电子;同花顺新质50;无人驾驶;同花顺出海50;液冷服务器;英伟达概念;数据中心;中国AI 50;沪股通;融资融券,22,601689,17
688767.SH,脑机接口;医疗器械概念;猴痘概念;辅助生殖;芬太尼;人民币贬值受益;幽门螺杆菌概念;肝炎概念;流感;沪股通;融资融券,11,688767,17
688511.SH,军民融合;军工;军工信息化;商业航天;专精特新;锂电池概念;人工智能;西部大开发;ST板块,9,688511,22
688122.SH,商业航天;航空发动机;可控核聚变;大飞机;军工;量子科技;超导概念;储能;西部大开发;国企改革;沪股通;融资融券,12,688122,17
002343.SZ,文化传媒概念;短剧游戏;手机游戏;IP经济(谷子经济);AI语料;AIGC概念;元宇宙;腾讯概念;旅游概念;虚拟现实;京津冀一体化;创投;AI应用;国企改革,14,002343,33
301213.SZ,军工信息化;卫星导航;军民融合;商业航天;航空发动机;军工;无人机;低空经济;Web3.0;东数西算(算力);高端装备;数字孪生;信创;人工智能;电子身份证;虚拟现实;专精特新;区块链;西部大开发;机器视觉;物联网;第三代半导体;机器人概念;传感器;AI应用;融资融券,26,301213,33
300244.SZ,DRG/DIP;AIGC概念;ChatGPT概念;多模态AI;AI应用;AI智能体;数据要素;阿里巴巴概念;智能医疗;职业教育;DeepSeek概念;人工智能;CRO概念;养老概念;基因测序;细胞免疫治疗;华为概念;阿尔茨海默概念;辅助生殖;猴痘概念;医疗器械概念;三胎概念;共同富裕示范区;肝炎概念;冷链物流;深股通;融资融券,27,300244,33
002590.SZ,华为汽车;小米汽车;长安汽车概念;飞行汽车(eVTOL);无人驾驶;人形机器人;比亚迪概念;小米概念;机器人概念;新能源汽车;低空经济;车联网(车路协同);汽车电子;无线充电;毫米波雷达;两轮车;工业互联网;军工;独角兽概念;回购增持再贷款概念;百度概念;绿色电力;融资融券;深股通,24,002590,33
000603.SZ,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;文化传媒概念;深股通;融资融券,9,000603,33
300085.SZ,华为鲲鹏;数据确权;信创;数字货币;百度概念;数据要素;互联网金融;区块链;语音技术;人工智能;华为概念;机器人概念;5G;粤港澳大湾区;跨境电商;碳中和;AI应用;参股券商;深股通;股权转让(并购重组);融资融券,21,300085,33
301332.SZ,跨境电商;净水概念;家用电器;智能家居;粤港澳大湾区;网红经济;专精特新;机器人概念;小米概念;AIGC概念;深股通;融资融券,12,301332,33
301276.SZ,体育产业;三胎概念;IP经济(谷子经济);融资融券,4,301276,33
301328.SZ,毫米波雷达;汽车电子;比亚迪概念;人形机器人;新能源汽车;智能座舱;机器人概念;无人驾驶;数据中心;低空经济;铜缆高速连接;海峡两岸;储能;粤港澳大湾区;光伏概念;深股通;融资融券,17,301328,33
002031.SZ,减速器;机器人概念;智能物流;人形机器人;机器视觉;高端装备;工业母机;航空发动机;人民币贬值受益;冷链物流;深股通;融资融券,12,002031,33
300828.SZ,数据中心;光伏概念;5G;汽车热管理;新能源汽车;充电桩;液冷服务器;比亚迪概念;机器人概念;储能;医疗器械概念;风电;一带一路;京津冀一体化;国企改革;股权转让(并购重组),16,300828,33
300496.SZ,MLOps概念;华为欧拉;多模态AI;ChatGPT概念;AI智能体;AIGC概念;百度概念;国产操作系统;鸿蒙概念;中国AI 50;虚拟数字人;阿里巴巴概念;抖音概念(字节概念);腾讯概念;元宇宙;区块链;语音技术;东数西算(算力);车联网(车路协同);DeepSeek概念;人工智能;英伟达概念;虚拟现实;数字经济;华为概念;独角兽概念;物联网;AI手机;智能音箱;机器视觉;AI PC;智能座舱;MR(混合现实);低空经济;华为海思概念股;智能医疗;智能穿戴;无人机;无人驾驶;小米概念;AI眼镜;5G;传感器;新型工业化;机器人概念;消费电子概念;智能家居;智能电网;AI应用;比亚迪概念;长安汽车概念;小米汽车;智能物流;华为汽车;回购增持再贷款概念;深股通;融资融券,57,300496,33
603376.SH,注册制次新股;长安汽车概念;共同富裕示范区;新能源汽车;比亚迪概念;传感器;专精特新;无人驾驶;汽车电子;新股与次新股;融资融券,11,603376,17
600610.SH,国企改革;西部大开发;沪股通;中字头股票;融资融券,5,600610,17
300631.SZ,盐湖提锂;稀土永磁;锂电池概念;专精特新;固态电池;污水处理;垃圾分类;净水概念;光伏概念,9,300631,33
688076.SH,减肥药;创新药;CRO概念;肝炎概念;流感;辅助生殖;合成生物;AI应用;智能医疗;ST板块;人民币贬值受益;专精特新,12,688076,22
603612.SH,石墨电极;固态电池;宁德时代概念;锂电池概念;氢能源;燃料电池;储能;一带一路;飞行汽车(eVTOL);2025年报预增;新能源汽车;无人机;无人驾驶;DeepSeek概念;沪股通;融资融券,16,603612,17
002195.SZ,AI语料;AIGC概念;AI应用;短剧游戏;多模态AI;AI智能体;百度概念;脑机接口;阿里巴巴概念;云计算;网络安全;腾讯概念;鸿蒙概念;区块链;元宇宙;智能医疗;人工智能;DeepSeek概念;网络游戏;华为概念;数据中心;创投;AI PC;无人驾驶;机器人概念;人形机器人;融资融券;深股通,28,002195,33
601825.SH,跨境支付(CIPS);融资融券;沪股通,3,601825,17
000993.SZ,绿色电力;碳交易;风电;智能电网;碳中和;污水处理;国企改革;参股银行;创投;互联网金融;海峡两岸;航运概念;深股通;融资融券,14,000993,33
003041.SZ,人民币贬值受益;共同富裕示范区;2025年报预增;一带一路;股权转让(并购重组),5,003041,33
600008.SH,高股息精选;绿色电力;医疗废物处理;PPP概念;煤化工概念;固废处理;国企改革;地下管网;土壤修复;污水处理;乡村振兴;净水概念;垃圾分类;新型城镇化;雄安新区;京津冀一体化;DeepSeek概念;智慧城市;人工智能;沪股通;融资融券;机器人概念,22,600008,17
300930.SZ,专精特新;3D打印;柔性屏(折叠屏);宁德时代概念;锂电池概念;共同富裕示范区;金属回收;海工装备;风电;抽水蓄能;融资融券,11,300930,33
301668.SZ,智能电网;注册制次新股;风电;专精特新;深股通;新股与次新股;融资融券,7,301668,33
300968.SZ,智能音箱;虚拟现实;智能穿戴;小米概念;华为概念;MR(混合现实);无人机;AI手机;智能家居;卫星导航;机器人概念;AI眼镜;商业航天;粤港澳大湾区;消费电子概念;柔性屏(折叠屏);新型烟草(电子烟);人民币贬值受益;富士康概念;一带一路;医美概念;深股通;融资融券,23,300968,33
600918.SH,期货概念;国企改革;沪股通;融资融券,4,600918,17
601598.SH,高股息精选;航运概念;统一大市场;同花顺中特估100;自由贸易港;冷链物流;中俄贸易概念;国企改革;央企国企改革;回购增持再贷款概念;一带一路;跨境电商;智能物流;无人驾驶;机器人概念;区块链;中字头股票;融资融券;沪股通,19,601598,17
301336.SZ,华为概念;小米概念;人工智能;智能家居;小米汽车;露营经济;西部大开发;融资融券,8,301336,33
605259.SH,人民币贬值受益;储能;水利;新能源汽车;鸿蒙概念,5,605259,17
600930.SH,绿色电力;风电;国企改革;注册制次新股;央企国企改革;储能;一带一路;核电;人工智能;新股与次新股;融资融券,11,600930,17
601107.SH,高股息精选;国企改革;西部大开发;沪股通;融资融券;氢能源;充电桩;创投;DeepSeek概念,9,601107,17
688597.SH,特高压;智能电网;电力物联网;虚拟电厂;高压快充;充电桩;储能;机器人概念;碳交易;军工;无人机;数字孪生;低空经济;智慧城市;京津冀一体化;空间计算;人工智能;时空大数据;数据要素;融资融券,20,688597,17
601618.SH,中字头股票;金属铅;金属钴;金属镍;同花顺中特估100;证金持股;央企国企改革;国企改革;PPP概念;碳中和;装配式建筑;一带一路;新型城镇化;光伏概念;沪股通;融资融券;工业互联网;高端装备,18,601618,17
300517.SZ,装配式建筑;PPP概念;一带一路;5G,4,300517,33
603833.SH,C2M概念;同花顺漂亮100;沪股通;智能家居;融资融券,5,603833,17
600059.SH,白酒概念;超级品牌;跨境电商;乡村振兴;国企改革;融资融券;回购增持再贷款概念;沪股通,8,600059,17
688248.SH,柔性直流输电;虚拟电厂;智能电网;风电;储能;华为概念;DeepSeek概念;人工智能;无人机;低空经济;机器人概念;央企国企改革;氢能源;人形机器人;国企改革;沪股通;融资融券,17,688248,17
000042.SZ,物业管理;粤港澳大湾区;深股通;融资融券,4,000042,33
600570.SH,数字货币;蚂蚁集团概念;跨境支付(CIPS);ChatGPT概念;AI智能体;互联网金融;AIGC概念;区块链;鸿蒙概念;华为鲲鹏;数据要素;智慧政务;多模态AI;信创;华为昇腾;数字经济;DeepSeek概念;人工智能;中国AI 50;华为概念;AI应用;碳中和;回购增持再贷款概念;碳交易;证金持股;沪股通;融资融券,27,600570,17
301381.SZ,ERP概念;人工智能;DeepSeek概念;跨境电商;AI应用;智能物流;人民币贬值受益;深股通;融资融券,9,301381,33
002722.SZ,创投;人工智能;语音技术;燃料电池;独角兽概念;国企改革;高端装备;氢能源;AIGC概念;ChatGPT概念;特钢概念,11,002722,33
600884.SH,钠离子电池;固态电池;氟化工概念;动力电池回收;宁德时代概念;石墨电极;锂电池概念;石墨烯;OLED;苹果概念;光伏概念;超级电容;小金属概念;金属镍;比亚迪概念;MiniLED;储能;新能源汽车;消费电子概念;共同富裕示范区;虚拟现实;创投;参股银行;沪股通;融资融券;股权转让(并购重组),26,600884,17
000680.SZ,雅下水电概念;高端装备;一带一路;雄安新区;国企改革;垃圾分类;无人驾驶;新型城镇化;机器人概念;人民币贬值受益;中俄贸易概念;乡村振兴;人工智能;融资融券;深股通,15,000680,33
600377.SH,高股息精选;国企改革;沪股通;融资融券,4,600377,17
002243.SZ,东数西算(算力);毫米波雷达;智慧城市;数据中心;数字经济;芯片概念;脑机接口;创投;锂电池概念;建筑节能;深圳国企改革;物业管理;可降解塑料;国企改革;冷链物流;深股通;融资融券,17,002243,33
603195.SH,超级品牌;同花顺漂亮100;露营经济;家用电器;抖音概念(字节概念);智能家居;腾讯概念;回购增持再贷款概念;充电桩;储能;华为概念;无线充电;沪股通;融资融券,14,603195,17
300466.SZ,网络安全;工业互联网;人工智能;数据安全;C2M概念;鸿蒙概念;换电概念;无人机;华为概念;数据中心;机器人概念;云计算;新型工业化;智能物流;机器视觉;光伏概念;一带一路;比亚迪概念;新能源汽车;燃料电池;国企改革;AI应用;深股通,23,300466,33
600739.SH,参股保险;参股券商;页岩气;生物疫苗;雄安新区;创投;创新药;职业教育;沪股通;融资融券;2025年报预增,11,600739,17
300286.SZ,虚拟电厂;智能电网;电力物联网;充电桩;储能;数据中心;华为概念;传感器;专精特新;安防;人工智能;深股通,12,300286,33
600111.SH,稀土永磁;小金属概念;金属回收;2026一季报预增;回购增持再贷款概念;军工;西部大开发;国企改革;2025年报预增;氢能源;专精特新;同花顺漂亮100;沪股通;融资融券,14,600111,17
688285.SH,高铁;一带一路;新能源汽车;国企改革;西部大开发;央企国企改革;融资融券,7,688285,17
002829.SZ,军工信息化;卫星导航;军民融合;商业航天;军工;无人机;低空经济;无人驾驶;传感器;安防;小米概念;专精特新;机器人概念;海工装备;人形机器人;数字孪生;小米汽车;人工智能;新能源汽车;百度概念;光纤概念;智能物流,22,002829,33
002616.SZ,生物质能发电;绿色电力;固废处理;粤港澳大湾区;农业种植,5,002616,33
601988.SH,高股息精选;同花顺中特估100;证金持股;沪股通;融资融券;跨境支付(CIPS),6,601988,17
600120.SH,量子科技;创投;参股保险;共同富裕示范区;信托概念;参股券商;国企改革;参股银行;期货概念;证金持股;中芯国际概念;融资融券;沪股通,13,600120,17
688320.SH,人形机器人;新型工业化;传感器;机器人概念;比亚迪概念;工业母机;工业互联网;芯片概念;华为概念;专精特新;宁德时代概念;富士康概念;人工智能;锂电池概念;沪股通;融资融券,16,688320,17
301067.SZ,AI眼镜;无人机;消费电子概念;机器人概念;无线充电;低空经济;卫星导航;粤港澳大湾区;铜缆高速连接;融资融券,10,301067,33
000521.SZ,冷链物流;垃圾分类;净水概念;国企改革;医疗器械概念;高股息精选;家用电器;空气能热泵;一带一路;回购增持再贷款概念;智能家居;血氧仪;人工智能;DeepSeek概念;工业互联网;鸿蒙概念;小米概念;量子科技;深股通;融资融券,20,000521,33
603350.SH,两轮车;传感器;机器人概念;专精特新;融资融券,5,603350,17
603028.SH,专精特新;创投;AI应用;光伏建筑一体化;光伏概念;机器人概念;细胞免疫治疗;海工装备;人形机器人;风电;TOPCON电池;国企改革;特钢概念,13,603028,17
600908.SH,高股息精选;参股银行;沪股通;融资融券,4,600908,17
002128.SZ,煤炭概念;高股息精选;央企国企改革;绿色电力;国企改革;西部大开发;风电;深股通;融资融券;储能;数据要素;股权转让(并购重组),12,002128,33
002319.SZ,石墨烯;光伏概念;柔性屏(折叠屏);横琴新区;HJT电池;文化传媒概念,6,002319,33
688712.SH,科创次新股;注册制次新股;新股与次新股;融资融券,4,688712,17
300771.SZ,物联网;无人零售;无人驾驶;人脸识别;智慧城市;机器人概念;智能物流;创投;换电概念;智能医疗;冷链物流;2025年报预增,12,300771,33
600516.SH,石墨电极;石墨烯;可控核聚变;核电;钠离子电池;锂电池概念;碳纤维;固态电池;西部大开发;工业互联网;人工智能;参股银行;沪股通;融资融券,14,600516,17
300146.SZ,医药电商;三胎概念;维生素;跨境电商;智能医疗;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,9,300146,33
